,1,2,3,4,5,6,7,8,9,10
FREEDOM / future & growth,"('Ever Evolving Flower', 5)","('NEW LIFE / POSSIBILITIES', 4)","('Inner Freedom Forager', 4)","('The Blessifier', 3)","('Self Worth Surfer', 3)","('Progress Painter', 3)","('Miracle Embracer', 3)","('Inner Winner', 3)","('Faith Flooder', 3)","('Cosmic Ray Receiver', 3)"
FREEDOM / past & let go,"('NEW LIFE / POSSIBILITIES', 5)","('Past #2', 4)","('Killer Kickstarter', 4)","('Inner Freedom Forager', 4)","('The Mindfulizer', 3)","('Memory Rinser', 3)","('Symbolic Stepper', 2)","('Serenity Soulmater', 2)","(""Self Control 101'r"", 2)","('Rainbow Hunter', 2)"
FREEDOM / peace & harmony,"('New Pattern Painter', 4)","('Bliss Kisser', 4)","('Joy Flooder', 3)","('Inner Freedom Forager', 3)","('Ill Feelings Illuminator', 3)","('Gratitude Flooder', 3)","('Emotions Elixir', 3)","('Blessings Detector', 3)","('WAIT AND SWITCH / Progress', 2)","('The Mindfulizer', 2)"
FREEDOM / tools & strategies,"('New Pattern Painter / confidence & awareness', 4)","('Insanity SOS’r', 3)","('The Dynamotivator', 2)","('Self awareness / habits & behavior', 2)","('Self awareness / confidence to admit', 2)","('SELF HARM / Tools', 2)","('RAW SOUL REVEALER / emotions & urges', 2)","('Progress Pollinator', 2)","('Insight Inseminator', 2)","('I-examiner - reactions & behavior', 2)"
GIVING / GENEROSITY,"('RELATIONSHIPS / Build connections & community', 5)","('The Empathologist', 4)","('NEW PATTERN PAINTER / share & learn', 4)","('Metta Motivator', 3)","('Compassion Weaver', 3)","('VULNERABILITY / give and receive', 2)","('Love Kickstarter', 2)","('Kindness Karmifier', 2)","('Ego Eclipser', 2)","('Wellectricity Generator', 1)"
GOD / reach out,"('God Grounder', 12)","('VULNERABILITY / share with god', 5)","('Almighty Alchemizer', 5)","('VULNERABILITY / reach out for help', 3)","('WAIT AND SWITCH / Progress', 2)","('Soul-vation ', 2)","('Miracle Embracer', 2)","('Insight Inseminator', 2)","('Inner Light Illuminator', 2)","('Grace Moonlighter', 2)"
GOD / thy will,"('Thy Will Be Doner', 7)","('Almighty Alchemizer', 7)","('God Grounder', 6)","('Higher Power Invoker', 3)","('Cosmic Ray Receiver', 3)","('SELF HARM / Tools', 2)","('Problem Soul-ver', 2)","('Faith Flooder', 2)","('Victim Vaccinator', 1)","('VULNERABILITY / reach out for help', 1)"
GRATITUDE / for others,"('VULNERABILITY / support from others', 2)","('The Blessifier', 2)","('RELATIONSHIPS / Trust & vulnerability', 2)","('NEW PATTERN PAINTER / share & learn', 2)","('Love Flooder', 2)","('Gratitude Grower', 2)","('Ego Eclipser', 2)","('Beloved BFF’r', 2)","('VULNERABILITY / connections', 1)","('Trigger Transformer', 1)"
GRATITUDE / for self,"('NEW LIFE / POSSIBILITIES', 3)","('Bliss Kisser', 3)","('Joy Flooder', 2)","('Journey Jazzer', 2)","('Ever Evolving Flower', 2)","('Divine Designer', 2)","('Worthy Soul’r', 1)","('The Dynamotivator', 1)","('The Destigmatizer', 1)","('Summer Soulstace', 1)"
GRATITUDE / opportunities,"('Blessings Detector', 3)","('The Hopenotizer', 2)","('Opportunity Oompher', 2)","('NEW LIFE / POSSIBILITIES', 2)","('Gratitude Grower', 2)","('Gratitude Goosebumper', 2)","('Gratitude Flooder', 2)","('Destiny Diviner', 2)","('Bliss Kisser', 2)","('Worthy Soul’r', 1)"
GRATITUDE / progress & growth,"('Blessings Bather', 4)","('Symbolic Stepper', 3)","('NEW LIFE / POSSIBILITIES', 3)","('Journey Jazzer', 3)","('Daily Daisy Spotter', 3)","('Baby Step Embracer', 3)","('Wellectricity Generator', 2)","('WAIT AND SWITCH / Small steps', 2)","('VULNERABILITY / mistakes & learning', 2)","('Progress Pollinator', 2)"
GROWTH,"('VULNERABILITY / connections', 1)","('The Blessifier', 1)","('THOUGHTS / aware & examine', 1)","('RELATIONSHIPS / Build connections & community', 1)","('Old Belief Butcher', 1)","('Mentality Mender', 1)","('Love Sweetener', 1)","('Kindness Karmifier', 1)","('Inner Soul X-Rayer', 1)","('I-Examiner', 1)"
